Dimensions,Dot_Times,Matrix_Times
10,4.1e-8,1.67e-7
10,4.1e-8,1.25e-7
10,4.1e-8,1.67e-7
10,4.1e-8,1.25e-7
10,4.1e-8,1.66e-7
10,4.2e-8,1.67e-7
10,4.2e-8,1.67e-7
10,4.2e-8,1.25e-7
10,4.2e-8,1.66e-7
10,0.0,1.25e-7
20,4.2e-8,2.5e-7
20,4.2e-8,2.5e-7
20,4.2e-8,2.5e-7
20,4.2e-8,2.91e-7
20,4.2e-8,2.5e-7
20,4.2e-8,2.5e-7
20,8.4e-8,2.5e-7
20,0.0,2.92e-7
20,4.2e-8,2.5e-7
20,4.2e-8,2.5e-7
30,4.1e-8,2.92e-7
30,0.0,2.92e-7
30,4.2e-8,3.75e-7
30,4.2e-8,5.0e-7
30,4.2e-8,2.91e-7
30,0.0,3.33e-7
30,4.2e-8,2.91e-7
30,4.2e-8,3.33e-7
30,0.0,3.33e-7
30,0.0,5.84e-7
40,4.2e-8,4.58e-7
40,4.2e-8,4.58e-7
40,4.2e-8,4.58e-7
40,4.2e-8,4.58e-7
40,4.2e-8,4.16e-7
40,4.2e-8,4.17e-7
40,4.2e-8,3.75e-7
40,4.2e-8,5.0e-7
40,4.2e-8,4.16e-7
40,0.0,3.75e-7
50,8.3e-8,8.33e-7
50,4.2e-8,7.09e-7
50,4.2e-8,7.91e-7
50,4.2e-8,5.83e-7
50,4.2e-8,5.83e-7
50,4.1e-8,5.42e-7
50,4.2e-8,8.33e-7
50,4.1e-8,5.84e-7
50,4.2e-8,5.83e-7
50,4.2e-8,5.84e-7
60,1.25e-7,8.75e-7
60,4.1e-8,8.75e-7
60,4.2e-8,7.08e-7
60,4.2e-8,1.0e-6
60,8.3e-8,9.58e-7
60,4.2e-8,7.92e-7
60,4.1e-8,7.09e-7
60,8.4e-8,1.0e-6
60,4.2e-8,7.91e-7
60,8.4e-8,9.58e-7
70,4.2e-8,1.292e-6
70,4.2e-8,1.5e-6
70,4.1e-8,1.083e-6
70,8.4e-8,1.166e-6
70,4.1e-8,1.417e-6
70,4.2e-8,1.416e-6
70,4.2e-8,1.25e-6
70,4.2e-8,1.25e-6
70,4.1e-8,1.833e-6
70,4.2e-8,1.208e-6
80,8.4e-8,1.417e-6
80,8.3e-8,1.416e-6
80,4.2e-8,1.334e-6
80,8.3e-8,1.25e-6
80,8.4e-8,1.167e-6
80,8.3e-8,1.417e-6
80,4.2e-8,1.416e-6
80,4.1e-8,1.333e-6
80,8.4e-8,1.375e-6
80,1.25e-7,1.708e-6
90,8.4e-8,1.75e-6
90,8.4e-8,1.708e-6
90,8.4e-8,1.833e-6
90,8.3e-8,1.792e-6
90,2.09e-7,1.75e-6
90,8.4e-8,1.75e-6
90,8.3e-8,1.875e-6
90,1.25e-7,1.875e-6
90,4.2e-8,1.833e-6
90,4.2e-8,1.625e-6
100,8.3e-8,1.0542e-5
100,8.3e-8,9.833e-6
100,8.4e-8,1.0084e-5
100,4.2e-8,1.0291e-5
100,4.1e-8,1.0459e-5
100,4.2e-8,1.1959e-5
100,4.1e-8,1.0917e-5
100,8.3e-8,1.0542e-5
100,4.2e-8,1.075e-5
100,4.2e-8,1.0417e-5
